Nazwa|Cena|Miasto|Dzielnica|Inwestycja|Pow. całkowita|Rynek|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Piętro|Liczba pięter|Liczba poziomów mieszkania|Liczba sypialni|Balkon|Taras|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Pow. użytkowa|Stan nieruchomości|Wysokość wnętrza|Typ kuchni|Liczba łazienek|łazienka razem z WC|Pow. loggii|Forma własności|Stan budynku|Pow. łazienki|Pow. balkonu|Dostępne od|Cena do negocjacji|Pow. tarasu|Pow. ogródka|Stolarka okienna|Typ domu|Dodatkowe koszty|Lokalizacja garażu|Kominek|Typ nieruchomości
Zamieszkaj lub zainwestuj - apartament z tarasem|1 319 299 zł|Gdynia, |Śródmieście, ||76,15 m²|Pierwotny|2023|04.02.2024|04.03.2024|morizon-EC148452|123|0|6/17|17||2|Tak|||Apartamentowiec||Co Miejskie|||||||||||||||||||||
4 pokoje, Gdynia, Mały Kacyk|1 950 000 zł|Gdynia, |Mały Kack, ||91,80 m²|Wtórny|2018|01.02.2024|30.03.2024|morizon-83/14376/OMS|520|0|2/6|6||||||APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD||ANEKS KUCHENNY|2||||||||||||||||
Mieszkanie - Gdynia Karwiny|1 960 000 zł|Gdynia, |Karwiny, ||109,30 m²|Wtórny|2015|16.03.2024|15.03.2024|morizon-TH01256|136|0|10/10|10|||Nie|Tak||||C.o. miejskie||||Półotwarta|2|Nie||Własność|Bardzo dobry||45 m²||||||||||
Słoneczne mieszkanie, blisko lasu, Gdynia-Witomino|419 000 zł|Gdynia, |2 Morskiego Pułku Strzelców||30,20 m²|Wtórny|1979|14.03.2024|26.03.2024|morizon-28939/3685/OMS|222|0||4||||||NISKI BLOK|WIELKA PŁYTA|C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD|245 cm|ANEKS KUCHENNY|1|||WŁASNOŚĆ||||20.03.2024|||||||||
"OSTATNIE M2 | widok na port | Gdynia"|449 000 zł|Gdynia, |Obłuże, ||36,20 m²|Wtórny|2022|11.04.2024|12.04.2024|morizon-775525|16|0|3/3|3|1|1|Tak|||||||||||||||||13.12.2023|||||||||
3 Pokoje, Piwnica, Winda, Balkon,Super Lokalizacja|520 000 zł|Gdynia|||53,50 m²|Wtórny|1970|03.04.2024|05.04.2024|morizon-45/14966/OMS|22|0|6/10|10|||Tak|||WIEŻOWIEC|WIELKA PŁYTA|C.O. Z SIECI MIEJSKIEJ||DOBRY||ODDZIELNA|1|||WŁASNOŚĆ|||||||||||||
Słoneczne dwupokojowe mieszkanie w Gdyni Wiczlinie|560 000 zł|Gdynia, |Wiczlino, ||42,04 m²|Wtórny|2015|15.03.2024|25.03.2024|morizon-XYMI411|85|0|2/3|3|||Tak||Na wyłączność|Blok mieszkalny|Ytong|Ogrzewanie na gaz miejski||Normalny||||||Własność|||||||||||||
Najlepsze 2 pokoje w orłowie 36m2 hala garażowa|690 000 zł|Gdynia, |Orłowo, ||36,80 m²|Wtórny|2000|20.03.2024|22.03.2024|morizon-261/5569/OMS|103|0|2/2|2|||Tak||Na wyłączność|APARTAMENTOWIEC|PUSTAK|C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD|263 cm|ANEKS KUCHENNY|1|||WŁASNOŚĆ||||01.09.2024|||||||||
3 POKOJOWE MIESZKANIE W GDYNI|699 000 zł|Gdynia, |Śródmieście, ||60,51 m²|Wtórny||28.02.2024|30.03.2024|morizon-PH822424|158|0|5/5|5||1|||Na wyłączność|||Co Miejskie|||||||||||||||||||||
Dwupokojowe mieszkanie Gdynia Śródmieście|699 900 zł|Gdynia, |Śródmieście, ||30,64 m²|Wtórny|2023|23.02.2024|29.03.2024|morizon-WH869919|235|0|2/5|5|1|||||Apartamentowiec|Inne|Co Miejskie|||||||||||||||||||||
Apartament 6 min. od morza|865 016 zł|Gdynia, |Śródmieście, ||53,15 m²|Pierwotny|2023|29.01.2024|04.03.2024|morizon-EC118170|150|0|3/6|6||1||||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Luksusowy apartament w centrum Gdyni|1 249 000 zł|Gdynia, |Działki Leśne, ||48,30 m²|Wtórny|2020|01.03.2024|28.03.2024|morizon-WH702823|99|0|2/6|6|1||Tak|||Apartamentowiec|Inne|Co Miejskie|||||||||||||||||||||
Jedyny taki apartament z widokiem i dużym tarasem|1 590 000 zł|Gdynia, |Witomino, ||104 m²|Wtórny|2012|08.03.2024|26.03.2024|morizon-WH925262|96|0|6/6|6|2|2|Tak|Tak||Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie|104,23 m²||||||||||||||||||||
Penthouse z tarasem na dachu, Mały Kack|2 504 800 zł|Gdynia, |Mały Kack, ||125,24 m²|Pierwotny|2024|28.03.2024|28.03.2024|morizon-WH858026|32|0|2/2|2|||Tak|||||||||||||||||01.08.2024|||||||||
REZERWACJA|380 000 zł|Gdynia, |Oksywie, ||35,30 m²|Wtórny|2006|11.03.2024|10.04.2024|morizon-29052/3685/OMS|363|0||2|||||Na wyłączność|NISKI BLOK|PUSTAK|C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD||ANEKS KUCHENNY|1|||WŁASNOŚĆ||||11.03.2024|||||||||
Do wprowadzenia, wspólnota, niskie opłaty|410 000 zł|Gdynia, |Witomino, ||34,40 m²|Wtórny||23.02.2024|13.03.2024|morizon-CP27824683|210|0||4|1|1||||Blok Mieszkalny||Co Miejskie||||||||||||26.02.2024|||||||||
Wspaniała lokalizacja-nieruchomość z potencjałem|439 000 zł|Gdynia, |Chylonia, ||44,06 m²|Wtórny|1972|19.03.2024|12.04.2024|morizon-CP717433|147|0|2/4|4||2|Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
2 pokoje w otulinie lasu, komfort i cisza|440 000 zł|Gdynia, |Pustki Cisowskie   Demptowo, ||46,02 m²|Wtórny|1984|22.03.2024|21.03.2024|morizon-OR016312|146|0||2|||Tak|Nie||||Gazowe||||Osobna|1|||Własność|Bardzo dobry||||||||||||
2 pokoje po generalnym remoncie w Śródmieściu|539 000 zł|Gdynia, |Śródmieście, ||30,72 m²|Wtórny|1962|01.03.2024|01.03.2024|morizon-PH325429|207|0|4/4|4|||Tak||Na wyłączność|||Co Miejskie|||||||||||||||||||||
Z ogrodem, mieszkanie z pomieszczeniem gospodarczy|545 000 zł|Gdynia, |Chwarzno-Wiczlino, ||49 m²|Pierwotny|2016|21.02.2024|12.04.2024|morizon-312822|211|0||3||1||||Blok Mieszkalny|YTong|Co Miejskie||||||||||||13.03.2024|||||||||
2 pokoje - Chwarzno Wiczlino|560 000 zł|Gdynia, |Chwarzno-Wiczlino, ||49,10 m²|Wtórny|2017|02.04.2024|02.04.2024|morizon-WIL948685|36|0||3||1||Tak||Blok Mieszkalny|Cegła|Co Miejskie||||||||||||01.04.2024|||||||||
3 pok. parter Gdynia Leszczynki -565 000zł.na sprz|565 000 zł|Gdynia, |Leszczynki, ||52,50 m²|Wtórny|1980|14.02.2024|12.04.2024|morizon-OR016268|216|0||11|||Nie|Nie||||C.o. miejskie||||Osobna|1|Nie||Własność|Bardzo dobry||||||||||||
Gdynia, ul. Morska - mieszkanie na sprzedaż|595 000 zł|Gdynia, |Grabówek, ||46,84 m²|Wtórny|1960|01.02.2024|12.04.2024|morizon-AS696633|156|0|3/4|4|1|2|||Na wyłączność|Kamienica|Cegła|Gazowe|||||||||||||||||||||
Centrum Gdyni-świetna lokalizacja-po remoncie|629 000 zł|Gdynia, |Śródmieście, ||50,50 m²|Wtórny|1960|19.03.2024|10.04.2024|morizon-CP154479|160|0|1/6|6||2||||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Fort Forest / Funkcjonalne / Możliwe 3 pokoje|630 000 zł|Gdynia, |Wiczlino, ||57,80 m²|Wtórny|2011|01.12.2023|21.01.2024|morizon-12095/8653/OMS|329|0|2/3|3|||Tak|||APARTAMENTOWIEC|YTONG|C.O. Z SIECI MIEJSKIEJ||DOBRY|280 cm|OTWARTA|1|||WŁASNOŚĆ|||||||||||||
Zamieszkaj lub zainwestuj - apartament w centrum|798 399 zł|Gdynia, |Śródmieście, ||40,02 m²|Pierwotny|2023|21.02.2024|01.04.2024|morizon-EC109897|116|0|5/5|5||1|Tak|||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Opis nieruchomości|531 976 zł|Gdynia, |Cisowa, |ZBOŻOWA|45,86 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.71|492|31|||||||||||||||||||||||||||||||
Wyjątkowe mieszkanie w historycznym sercu miasta|880 000 zł|Gdynia, |Kamienna Góra||55,30 m²|Wtórny|1952|02.01.2024|12.03.2024|morizon-GOF208454|535|0|1/5|5||1||||Kamienica|Cegła|Co Miejskie|||||||||||||||||||||
Na sprzedaż parter domu - Gdynia Grabówek|900 000 zł|Gdynia, |Grabówek, ||120 m²|Wtórny|1962|27.02.2024|27.02.2024|morizon-EC273512|88|0||1|||Tak||Na wyłączność||||75,50 m²||||||||||||||||||||
Komfortowe mieszkanie, miejsca postojowe|909 000 zł|Gdynia, |Fikakowo, ||81,80 m²|Wtórny|2015|22.03.2024|30.03.2024|morizon-652819|53|0|3/6|6||2|||Na wyłączność||||78,06 m²||||||||||||||||||||
4 pokoje blisko morza, Pogórze|929 000 zł|Gdynia, |Pogórze, ||79,89 m²|Wtórny|2021|09.02.2024|20.02.2024|morizon-PH355169|272|0|1/3|3|||||Na wyłączność|||Co Miejskie|||||||||||||||||||||
Apartament przy lesie|1 000 000 zł|Gdynia, |Mały Kack, ||68,50 m²|Wtórny||07.02.2024|11.03.2024|morizon-8|231|0|4/6|6||||Tak||Blok||||||||||Własność|Bardzo dobry|||||12 m²|||||||
Mieszkanie w kamienicy 3,5m, wysoki standard|1 050 000 zł|Gdynia, |Grabówek, ||74,29 m²|Wtórny|1931|20.02.2024|29.03.2024|morizon-WH188380|159|0|2/4|4|1|2|||Na wyłączność|Kamienica|Cegła|Co Miejskie||||||||||||29.09.2023|||||||||
KamiennaGóra 4pok balkon wysokie wnętrza kamienica|1 399 000 zł|Gdynia, |Kamienna Góra, ||92 m²|Wtórny|1937|31.01.2024|08.04.2024|morizon-WH281697|424|0||3|||Tak|||Kamienica|Cegła|Gazowe||||||||||||20.10.2023|||||||||
Apartament w stylu balijskim z widokiem na zatokę|1 400 000 zł|Gdynia, |Oksywie, ||85,19 m²|Wtórny|2022|11.03.2024|19.03.2024|morizon-WH289923|230|0|3/3|3|1|2|Tak|Tak|Na wyłączność|Blok Mieszkalny|Konstrukcja mieszana|Ekologiczne||||||||||||05.02.2024|||||||||
Awanport, z widokiem na morze, jasne, hala|2 350 000 zł|Gdynia M., |Gdynia, ||94 m²|Wtórny||20.12.2023|20.12.2023|morizon-DFI-MS-1403|247|0|4/6|6|2|1||||Apartamentowiec||||Idealny||Aneks kuchenny - połączony z salonem||||||||||||Drewniane||800|||
Niepowtarzalny widok na Zatokę Gdańską i marinę|2 380 000 zł|Gdynia, |Śródmieście, ||54,10 m²|Wtórny|2009|11.03.2024|25.03.2024|morizon-EC573926|206|0|15/27|27||1||||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Trzypokojowe mieszkanie w Gdyni Pogórzu|520 000 zł|Gdynia, |Pogórze Górne, ||60 m²|Wtórny|1984|28.02.2024|06.04.2024|morizon-919681|163|0|3/4|4||2|Tak|||||||||||||||||31.03.2024|||||||||
2 pokoje - niskie opłaty|520 000 zł|Gdynia, |Chwarzno-Wiczlino, ||41,12 m²|Wtórny|2016|13.02.2024|09.03.2024|morizon-CP27246941|146|0|2/3|3||1|Tak||Na wyłączność|Blok Mieszkalny||Co Miejskie||||||||||||22.01.2024|||||||||
Mieszkanie - Gdynia Obłuże|538 000 zł|Gdynia, |Obłuże, ||53,84 m²|Wtórny|1984|06.03.2024|27.03.2024|morizon-OR016288|126|0|4/4|4|||Tak|Nie|Na wyłączność|||C.o. miejskie||||Osobna|1|||Spółdzielcze własnościowe z KW|Bardzo dobry||2,50 m²||||||||||
Kompaktowe 2 pokoje z ogrodem w nowym budownictwie|560 000 zł|Gdynia, |Pogórze, ||49,84 m²|Wtórny|2015|23.03.2024|29.03.2024|morizon-PH131093|219|0||3|||||Na wyłączność|Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
3pokojowe mieszkanie, blisko centrum|575 000 zł|Gdynia, |Chylonia, ||53,80 m²|Wtórny|1980|26.03.2024|03.04.2024|morizon-811989|71|0|1/4|4|1|2|Tak|||||||||||||||||26.03.2024|||||||||
Słoneczne mieszkanie w świetnej lokalizacji|582 000 zł|Gdynia, |Witomino-Radiostacja, ||43,14 m²|Wtórny|1968|05.04.2024|08.04.2024|morizon-365681|41|0|1/4|4||||||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Babie Doły 2pokoje po remoncie z widokiem na morze|597 000 zł|Gdynia, |Babie Doły, ||46 m²|Wtórny|1986|29.01.2024|12.04.2024|morizon-GOLD969322|232|0|4/4|4||||||Blok Mieszkalny||Co Miejskie||||||||||||01.02.2024|||||||||
Słoneczne mieszkanie 2 pokojowe, 10 min od morza|599 000 zł|Gdynia, |Redłowo, ||42 m²|Wtórny|1980|09.02.2024|10.04.2024|morizon-OF340933892|400|0|4/10|10||1|Tak||Na wyłączność||||||||||||||||||||||||
Ostatnie mieszkanie gotowe do odbioru|630 144 zł|Gdynia, |Pogórze, ||65,64 m²|Wtórny|2024|27.03.2024|27.03.2024|morizon-DH110524|74|0||3||2|Nie|Tak||Blok Mieszkalny||Co Miejskie||||||||||||27.03.2024|||||||||
35,77 m2 w sercu gdyni ul. abrahama/świętojańska|649 000 zł|Gdynia, |Śródmieście, ||35,77 m²|Wtórny|1973|07.03.2024|17.03.2024|morizon-3860/12083/OMS|113|0|3/5|5|||Tak|||KAMIENICA|CEGŁA|C.O. Z SIECI MIEJSKIEJ||DOBRY||ODDZIELNA|1|||WŁASNOŚĆ||||01.04.2024|||||||||
2 pok mieszkanie blisko morza|669 000 zł|Gdynia, |Redłowo, ||40,78 m²|Wtórny|1970|27.02.2024|11.04.2024|morizon-WH138189|304|0|3/9|9|1||Tak|||Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
Zamieszkaj lub zainwestuj - apartament w centrum|691 110 zł|Gdynia, |Śródmieście, ||43,88 m²|Pierwotny|2023|16.02.2024|01.04.2024|morizon-EC303568|188|0|1/17|17||1|Tak|||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Gdynia Oksywie 1km spacerem do morza|860 000 zł|Gdynia, |Oksywie, ||71,70 m²|Wtórny|1939|27.02.2024|11.04.2024|morizon-TH871282|53|0|1/3|3|1|1|Tak||||||||||||||||||||||||||
Piekny apartament typu Loft do zamieszkania|879 000 zł|Gdynia, |Chwarzno-Wiczlino, ||82 m²|Wtórny|2022|18.02.2024|29.03.2024|morizon-161660|322|0|3/3|3||2|Tak||||||||||||||||||||||||||
Mieszkanie w centrum z bajecznymi widokami z okien|898 000 zł|Gdynia, |Śródmieście, ||70,19 m²|Wtórny||28.03.2024|27.03.2024|morizon-FI020107|101|0|6/10|10|||Tak|Nie|Na wyłączność|||C.o. miejskie||||Osobna|1|||Własność|Do adaptacji||||||||||||
58.28 m2 Gdynia Redłowo - gotowe do odbioru|956 724 zł|Gdynia, |Redłowo||58,28 m²|Pierwotny|2024|06.04.2024|06.04.2024|morizon-4161/12083/OMS|25|0|3/14|14||||||APARTAMENTOWIEC|MIESZANY|C.O. Z SIECI MIEJSKIEJ||DO WYKOŃCZENIA||ANEKS KUCHENNY||||WŁASNOŚĆ||||01.04.2024|||||||||
Dwupokojowe mieszkanie Invest Komfort|960 000 zł|Gdynia, |Śródmieście, ||38,02 m²|Wtórny|2020|23.02.2024|25.03.2024|morizon-WH398022|142|0|2/17|17|1|||||Apartamentowiec|Inne|Co Miejskie|||||||||||||||||||||
Apartamenty na sprzedaż - wysokie rabaty|1 001 100 zł|Gdynia, |Śródmieście, ||58,85 m²|Pierwotny|2024|27.01.2024|12.04.2024|morizon-AS919311|166|0|1/5|5|1|2|Tak|||Apartamentowiec|Konstrukcja żelbetowa|Co Miejskie|||||||||||||||||||||
Apartamenty na sprzedaż - wysokie rabaty|1 029 100 zł|Gdynia, |Śródmieście, ||62,33 m²|Wtórny|2024|27.01.2024|12.04.2024|morizon-AS421029|128|0|2/5|5|1|2|Tak|||Apartamentowiec|Konstrukcja żelbetowa|Co Miejskie|||||||||||||||||||||
Apartamenty na sprzedaż - wysokie rabaty|1 078 900 zł|Gdynia, |Śródmieście, ||67,39 m²|Wtórny|2024|27.01.2024|12.04.2024|morizon-AS764315|164|0|1/5|5|1|2|Tak|||Apartamentowiec|Konstrukcja żelbetowa|Co Miejskie|||||||||||||||||||||
3 sypialnie, oddzielna kuchnia, do negocjacji|1 165 000 zł|Gdynia M., |Gdynia, ||101,50 m²|Wtórny|1997|13.02.2024|13.02.2024|morizon-DFI-MS-1417|255|0|5/5|5||3||||Blok|Murowana|||Bardzo dobry|255 cm|Oddzielna|1|Tak||||||||||Drewniane||700|||
Apartament na Polanie 3 pok. Gdynia ul. Strzelców|1 180 000 zł|Gdynia, |Mały Kack, ||68 m²|Wtórny|2010|22.03.2024|21.03.2024|morizon-OR016319|86|0|5/6|6|||Nie|Tak||||C.o. miejskie||||Półotwarta|1|||Własność|Wysoki standard||20 m²||||||||||
Apartament 4 pokoje Cadena Park hala taras|1 199 000 zł|Gdynia, |Mały Kack, ||98 m²|Wtórny|2004|09.03.2024|11.03.2024|morizon-22875/2089/OMS|135|0|||||Tak||Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD|||2|||WŁASNOŚĆ||||06.03.2024|||||||||
Słoneczne, taras 65 m2, sauna, przy lesie|1 330 000 zł|Gdynia, |Chwarzno, ||103,90 m²|Wtórny|2010|01.02.2024|29.03.2024|morizon-877053|440|0|3/3|3||2||Tak|Na wyłączność|Apartamentowiec|Inne|Co Własne||||||||||||15.02.2024|||||||||
Atrakcyjny apartament na prestiżowym osiedlu Silva|1 345 000 zł|Gdynia, |Działki Leśne, ||50 m²|Wtórny|2020|06.02.2024|25.03.2024|morizon-137261|374|0|5/6|6|1|1|Tak|||Apartamentowiec|Konstrukcja mieszana|Co Miejskie|||||||||||||||||||||
Opis nieruchomości|574 751 zł|Gdynia, |Cisowa, |ZBOŻOWA|51,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.18|686|29|||||||||||||||||||||||||||||||
Apartament w stylu balijskim z widokiem na zatokę|1 400 000 zł|Gdynia|||85,19 m²|Wtórny|2022|11.03.2024|11.03.2024|morizon-WH460158|48|0|3/3|3|1|2|Tak|Tak|Na wyłączność|Blok Mieszkalny|Konstrukcja mieszana|Ekologiczne||||||||||||05.02.2024|||||||||
"Widok na Zatokę Gdańską | Apartament Premium"|1 520 000 zł|Gdynia, |Redłowo, ||70,36 m²|Pierwotny|2024|27.02.2024|12.04.2024|morizon-HEX831254|87|0|6/14|14||2||Tak||Apartamentowiec||Co Miejskie||||||||||||31.03.2024|||||||||
Apartament 4 pokojowy, winda, hala garażowa|1 850 000 zł|Gdynia, |Śródmieście||103 m²|Wtórny|2008|07.02.2024|08.04.2024|morizon-WH954701|200|0|1/2|2||3||||Apartamentowiec|Silikat||||||||||||||||||||||
Apartament blisko morza i centrum Gdyni|2 350 000 zł|Gdynia, |Kamienna Góra, ||100 m²|Wtórny|1999|23.03.2024|22.03.2024|morizon-OR016320|81|0|2/2|2|||Tak|Nie||||C.o. miejskie||||Brak|1|Nie||Własność|Wysoki standard||||||||||||
Unikalna Inwestycja w Centrum Gdyni|3 000 000 zł|Gdynia, |Śródmieście, ||79 m²|Wtórny|1975|06.02.2024|04.04.2024|morizon-PH449964|180|0||5||||||Kamienica||Co Miejskie||||||||||||31.01.2024|||||||||
Urokliwa kawalerka z kominkiem w Gdyni Śródmieście|300 000 zł|Gdynia, |Śródmieście, ||21,88 m²|Wtórny|1917|13.03.2024|12.04.2024|morizon-GOLD396049|400|0|2/2|2|||||Na wyłączność|Blok Mieszkalny|Cegła|Elektryczne||||||||||||14.03.2024|||||||||
Zainwestuj w Gdyni|399 000 zł|Gdynia, |Działki Leśne, ||53,68 m²|Wtórny|1932|17.03.2024|25.03.2024|morizon-PH200173|313|0|2/4|4|||||Na wyłączność|||Co Miejskie|||||||||||||||||||||
Kup i mieszkaj za darmo|399 000 zł|Gdynia, |Działki Leśne, ||55,04 m²|Wtórny|1932|17.03.2024|25.03.2024|morizon-PH765128|306|0|3/4|4|||||Na wyłączność|||Co Miejskie|||||||||||||||||||||
Opis nieruchomości|433 500 zł|Gdynia, |Chylonia, ||57,81 m²|Wtórny|1980|08.04.2024|12.04.2024|morizon-PH161157|66|0|2/2|2|||||Na wyłączność|||Gazowe|||||||||||||||||||||
Kawalerka 30 m2 blisko morza w nowym budownictwie|440 000 zł|Gdynia, |Mały Kack, ||30 m²|Wtórny|2018|17.03.2024|04.04.2024|morizon-868898|124|0||2||1|Tak||||||||||||||||||||||||||
Trzypokojowe mieszkanie blisko morza|459 000 zł|Gdynia, |Oksywie, ||52,68 m²|Wtórny|1980|22.02.2024|11.04.2024|morizon-PH783861|356|0|3/4|4|||Tak||Na wyłączność|Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
46.16 m2 Gdynia Dąbrowa - odbiór luty 2026|538 410 zł|Gdynia|||46,16 m²|Pierwotny|2025|06.04.2024|06.04.2024|morizon-4186/12083/OMS|36|0||5||||||APARTAMENTOWIEC|MIESZANY|C.O. Z SIECI MIEJSKIEJ||DO WYKOŃCZENIA||ANEKS KUCHENNY||||WŁASNOŚĆ||||28.02.2026|||||||||
47.60 m2 gdynia dąbrowa - odbiór luty 2026|550 589 zł|Gdynia|||47,60 m²|Pierwotny|2025|06.04.2024|06.04.2024|morizon-4187/12083/OMS|24|0|4/5|5|||Tak|||APARTAMENTOWIEC|MIESZANY|C.O. Z SIECI MIEJSKIEJ||DO WYKOŃCZENIA||ANEKS KUCHENNY||||WŁASNOŚĆ||||28.02.2026|||||||||
3 pokoje w nowym budownictwie blisko morza|619 000 zł|Gdynia, |Pogórze, ||51,30 m²|Wtórny|2018|22.02.2024|12.04.2024|morizon-PH661888|272|0|3/3|3|||Tak||Na wyłączność|Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
"Nowe mieszkanie | Mała Chylońska | A.2.4"|672 281 zł|Gdynia, |Chylonia, ||62,83 m²|Pierwotny|2024|12.02.2024|12.02.2024|morizon-8|161|0|2/3|3|1||Tak||Na wyłączność|Blok||Miejskie||Do wykończenia||Aneks|1|Tak||Własność|Bardzo dobry|4,26 m²|4,50 m²||||||||||
"3 pokojowe mieszkanie 61m2 | Gotowe | Garaż |"|715 000 zł|Gdynia M., |Gdynia, ||61,20 m²|Wtórny||07.03.2024|07.03.2024|morizon-BHN-MS-4109|86|0||||2|Tak|||||||Do wprowadzenia||||||||||||||PCV||640|||
2 POKOJE Z OGRODEM. NOWE BUDOWNICTWO W GDYNI|740 000 zł|Gdynia, |Oksywie, ||42,83 m²|Wtórny|2021|21.02.2024|02.04.2024|morizon-PH713754|176|0||4||1|||Na wyłączność|||Co Miejskie|||||||||||||||||||||
4 pokoje, dobra cena, centrum Gdyni|749 000 zł|Gdynia, |Działki Leśne, ||69,83 m²|Wtórny|1963|08.03.2024|09.03.2024|morizon-DH459769|71|0|5/10|10|||Tak|||Wieżowiec||Co Miejskie|||||||||||||||||||||
Dwupak inwestycyjny|759 000 zł|Gdynia, |Działki Leśne, ||108,72 m²|Wtórny|1932|20.03.2024|20.03.2024|morizon-PH137547|110|0|2/4|4|||||Na wyłączność|||Co Miejskie|||||||||||||||||||||
Mieszkanie 3 pokojowe z balkonem, Leszczynki|799 000 zł|Gdynia, |Leszczynki, ||70,10 m²|Wtórny|1998|30.01.2024|05.03.2024|morizon-PH224471|137|0|6/6|6|||Tak|||Blok Mieszkalny||Co Miejskie||||||||||||30.06.2024|||||||||
3 pokoje z antersolą w sercu Gdynii|1 112 158 zł|Gdynia, |Śródmieście, ||61,79 m²|Pierwotny|2023|02.04.2024|05.04.2024|morizon-289374|37|0|3/5|5|2||Tak||Na wyłączność||||||||||||||||||||||||
Komfortowe mieszkanie z garażem i komórką w cenie|1 160 000 zł|Gdynia, |Wielki Kack, ||94,20 m²|Wtórny|2006|13.03.2024|12.03.2024|morizon-OR016293|80|0|1/2|2|||Tak|Nie||||C.o. miejskie||||Osobna|1|Nie||Własność|Bardzo dobry||||||||||||
Rodzinna oaza z dwoma tarasami i pięknym widokiem|1 289 000 zł|Gdynia, |Chwarzno-Wiczlino, ||93,31 m²|Wtórny|2023|19.01.2024|09.04.2024|morizon-TC152919|272|0|3/3|3||3||Tak|Na wyłączność|Apartamentowiec|Silikat|Co Miejskie||||||||||||13.01.2024|||||||||
Trzypokojowe mieszkanie Gdynia Orłowo|1 350 000 zł|Gdynia, |Orłowo||76,40 m²|Wtórny|1999|07.03.2024|14.03.2024|morizon-WH473630|316|0||2|1||Tak||Na wyłączność|Apartamentowiec|Inne|Co Własne||||||||||||01.03.2024|||||||||
Trzypokojowe mieszkanie, centrum Gdyni Plac Unii|1 699 000 zł|Gdynia, |Śródmieście, ||67,13 m²|Wtórny|2021|29.02.2024|20.03.2024|morizon-WH153156|234|0|5/6|6|1||Tak||Na wyłączność|Apartamentowiec|Inne|Co Miejskie|||||||||||||||||||||
Mieszkanie 2-pokojowe w Gdyni Witomino|379 000 zł|Gdynia, |Witomino, ||42,60 m²|Wtórny|1975|12.02.2024|21.03.2024|morizon-MS0532|874|0|4/4|4|||Tak||Na wyłączność|Blok|Wielka płyta|Miejskie||||Osobna||||Spółdzielcze-własnościowe|||||||||||||
"GDYNIA OBŁUŻE | SPOKOJNIE MIEJSCE DO ŻYCIA"|540 000 zł|Gdynia, |Obłuże, ||50,80 m²|Wtórny||07.02.2024|27.03.2024|morizon-173535|107|0|1/5|5|1||Tak||Na wyłączność|||||||||||||||08.02.2024|||||||||
Słoneczne mieszkanie w Gdyni Cisowej|589 000 zł|Gdynia, |Cisowa, ||66,67 m²|Wtórny|1978|29.02.2024|15.03.2024|morizon-R-924915|201|0|5/11|11|1|2|Tak||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie||||||||||||01.04.2024|||||||||
Nowe budownictwo, hala, komórka, wykończone|640 000 zł|Gdynia, |Działki Leśne, ||42,10 m²|Wtórny|2020|16.02.2024|03.04.2024|morizon-PH940718|383|0|2/3|3|||Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Opis nieruchomości|645 000 zł|Gdynia, |Dąbrowa, ||69,79 m²|Wtórny|1998|09.02.2024|09.04.2024|morizon-519|141|0|3/3|3|||||Na wyłączność||Płyta|Miejskie||Dobry||||||Własność||||||||||800|||Mieszkanie
3 pokoje po remoncie Działki Leśne Klimatyzacja|679 000 zł|Gdynia, |Działki Leśne, ||57,10 m²|Wtórny|1934|29.01.2024|27.03.2024|morizon-DH713633|229|0|4/5|5|||||Na wyłączność|Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Gdynia Obłuże, 3 pokoje, jasne i wykończone|680 000 zł|Gdynia, |Pogórze, ||63,16 m²|Wtórny|2008|27.02.2024|12.03.2024|morizon-PH313372|211|0|1/10|10||||||||Co Miejskie|||||||||||||||||||||
